AIRPORT_ID,Code,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
10397,ATL,William B. Hartsfield Atlanta International,33.64083333,-84.42722222
10397,ATL,Hartsfield-Jackson Atlanta International,33.64083333,-84.42722222
10398,ATM,Altamira Airport,-3.25333333,-52.25305556
10399,ATN,Namatanai Airport,-3.67138889,152.4363889
10400,ATO,Ohio University Snyder Field,39.21083333,-82.23166667
10400,ATO,Ohio University,39.21194444,-82.22916667
10401,ATP,Aitape Airport,-3.1425,142.3466667
10402,ATQ,Amritsar Airport,31.70694444,74.79722222
10402,ATQ,Amritsar International,31.71138889,74.79638889
10403,ATR,Atar Airport,20.49944444,-13.04638889
10404,ATS,Artesia Municipal,32.84833333,-104.4669444
10405,ATT,Atmautluak Airport,60.8675,-162.2708333
10406,ATU,Casco Cove,52.82583333,173.1727778
10406,ATU,Casco Cove CGS,52.8325,173.1755556
10407,ATV,Ati Airport,13.24222222,18.3075
10408,ATW,Outagamie County Regional,44.25777778,-88.52
10408,ATW,Appleton International,44.25805556,-88.51916667
10409,ATY,Watertown Municipal,44.90888889,-97.15416667
10409,ATY,Watertown Regional,44.90888889,-97.15416667
10410,ATZ,Assiut Airport,27.04638889,31.07861111
10411,AUA,Reina Beatrix International,12.50222222,-70.01388889
10412,AUC,Santiago Perez,7.07027778,-70.74055556
